14.0504 	EXP 	window1: blendMode = 'avg'
14.0661 	EXP 	window1: blendMode = 'avg'
14.0840 	EXP 	window1: blendMode = 'avg'
14.1004 	EXP 	window1: blendMode = 'avg'
14.1170 	EXP 	window1: blendMode = 'avg'
14.1336 	EXP 	window1: blendMode = 'avg'
14.1504 	EXP 	window1: blendMode = 'avg'
14.1670 	EXP 	window1: blendMode = 'avg'
14.1837 	EXP 	window1: blendMode = 'avg'
14.2005 	EXP 	window1: blendMode = 'avg'
14.2171 	EXP 	window1: blendMode = 'avg'
14.2342 	EXP 	window1: blendMode = 'avg'
14.2504 	EXP 	window1: blendMode = 'avg'
14.2672 	EXP 	window1: blendMode = 'avg'
14.2838 	EXP 	window1: blendMode = 'avg'
14.3004 	EXP 	window1: blendMode = 'avg'
14.3171 	EXP 	window1: blendMode = 'avg'
14.3338 	EXP 	window1: blendMode = 'avg'
14.3496 	EXP 	window1: blendMode = 'avg'
14.3671 	EXP 	window1: blendMode = 'avg'
14.3838 	EXP 	window1: blendMode = 'avg'
14.3996 	EXP 	window1: blendMode = 'avg'
14.4172 	EXP 	window1: blendMode = 'avg'
14.4338 	EXP 	window1: blendMode = 'avg'
14.4496 	EXP 	window1: blendMode = 'avg'
14.4676 	EXP 	window1: blendMode = 'avg'
14.4839 	EXP 	window1: blendMode = 'avg'
14.5005 	EXP 	window1: blendMode = 'avg'
14.5163 	EXP 	window1: blendMode = 'avg'
14.5343 	EXP 	window1: blendMode = 'avg'
14.5507 	EXP 	window1: blendMode = 'avg'
14.5673 	EXP 	window1: blendMode = 'avg'
14.5830 	EXP 	window1: blendMode = 'avg'
14.6005 	EXP 	window1: blendMode = 'avg'
14.6171 	EXP 	window1: blendMode = 'avg'
14.6339 	EXP 	window1: blendMode = 'avg'
14.6507 	EXP 	window1: blendMode = 'avg'
14.6673 	EXP 	window1: blendMode = 'avg'
14.6838 	EXP 	window1: blendMode = 'avg'
14.7006 	EXP 	window1: blendMode = 'avg'
14.7169 	EXP 	window1: blendMode = 'avg'
14.7344 	EXP 	window1: blendMode = 'avg'
14.7506 	EXP 	window1: blendMode = 'avg'
14.7672 	EXP 	window1: blendMode = 'avg'
14.7842 	EXP 	window1: blendMode = 'avg'
14.8007 	EXP 	window1: blendMode = 'avg'
14.8173 	EXP 	window1: blendMode = 'avg'
14.8339 	EXP 	window1: blendMode = 'avg'
14.8506 	EXP 	window1: blendMode = 'avg'
14.8671 	EXP 	window1: blendMode = 'avg'
14.8830 	EXP 	window1: blendMode = 'avg'
14.9007 	EXP 	window1: blendMode = 'avg'
14.9174 	EXP 	window1: blendMode = 'avg'
14.9332 	EXP 	window1: blendMode = 'avg'
14.9508 	EXP 	window1: blendMode = 'avg'
14.9674 	EXP 	window1: blendMode = 'avg'
14.9841 	EXP 	window1: blendMode = 'avg'
15.0007 	EXP 	window1: blendMode = 'avg'
15.0173 	EXP 	window1: blendMode = 'avg'
15.0341 	EXP 	window1: blendMode = 'avg'
15.0509 	EXP 	window1: blendMode = 'avg'
15.0675 	EXP 	window1: blendMode = 'avg'
15.0841 	EXP 	window1: blendMode = 'avg'
15.1009 	EXP 	window1: blendMode = 'avg'
15.1171 	EXP 	window1: blendMode = 'avg'
15.1345 	EXP 	window1: blendMode = 'avg'
15.1506 	EXP 	window1: blendMode = 'avg'
15.1678 	EXP 	window1: blendMode = 'avg'
15.1842 	EXP 	window1: blendMode = 'avg'
15.2002 	EXP 	window1: blendMode = 'avg'
15.2176 	EXP 	window1: blendMode = 'avg'
15.2333 	EXP 	window1: blendMode = 'avg'
15.2509 	EXP 	window1: blendMode = 'avg'
15.2667 	EXP 	window1: blendMode = 'avg'
15.2842 	EXP 	window1: blendMode = 'avg'
15.3008 	EXP 	window1: blendMode = 'avg'
15.3167 	EXP 	window1: blendMode = 'avg'
15.3346 	EXP 	window1: blendMode = 'avg'
15.3499 	EXP 	window1: blendMode = 'avg'
15.3681 	EXP 	window1: blendMode = 'avg'
15.3685 	EXP 	window1: blendMode = 'avg'
15.3833 	EXP 	image_train1: autoDraw = False
15.3833 	EXP 	label_train1: autoDraw = False
15.3833 	EXP 	image_train1: autoDraw = False
15.3833 	EXP 	label_train1: autoDraw = False
15.3833 	EXP 	text_3: autoDraw = False
15.3833 	EXP 	retype1: alignHoriz = 'left'
15.3833 	EXP 	retype1: autoDraw = True
15.3833 	EXP 	instr3: autoDraw = True
15.3840 	EXP 	window1: blendMode = 'avg'
15.3842 	EXP 	window1: blendMode = 'avg'
15.4014 	EXP 	window1: blendMode = 'avg'
15.4017 	EXP 	window1: blendMode = 'avg'
15.4174 	EXP 	window1: blendMode = 'avg'
15.4177 	EXP 	window1: blendMode = 'avg'
15.4473 	EXP 	window1: blendMode = 'avg'
15.4476 	EXP 	window1: blendMode = 'avg'
15.4665 	EXP 	window1: blendMode = 'avg'
15.4668 	EXP 	window1: blendMode = 'avg'
15.4831 	EXP 	window1: blendMode = 'avg'
15.4833 	EXP 	window1: blendMode = 'avg'
15.4999 	EXP 	window1: blendMode = 'avg'
15.5001 	EXP 	window1: blendMode = 'avg'
15.5166 	EXP 	window1: blendMode = 'avg'
15.5168 	EXP 	window1: blendMode = 'avg'
15.5333 	EXP 	window1: blendMode = 'avg'
15.5335 	EXP 	window1: blendMode = 'avg'
15.5500 	EXP 	window1: blendMode = 'avg'
15.5502 	EXP 	window1: blendMode = 'avg'
15.5665 	EXP 	window1: blendMode = 'avg'
15.5667 	EXP 	window1: blendMode = 'avg'
15.5832 	EXP 	window1: blendMode = 'avg'
15.5835 	EXP 	window1: blendMode = 'avg'
15.5996 	EXP 	window1: blendMode = 'avg'
15.5999 	EXP 	window1: blendMode = 'avg'
15.6165 	EXP 	window1: blendMode = 'avg'
15.6167 	EXP 	window1: blendMode = 'avg'
15.6333 	EXP 	window1: blendMode = 'avg'
15.6335 	EXP 	window1: blendMode = 'avg'
15.6500 	EXP 	window1: blendMode = 'avg'
15.6502 	EXP 	window1: blendMode = 'avg'
15.6668 	EXP 	window1: blendMode = 'avg'
15.6670 	EXP 	window1: blendMode = 'avg'
15.6838 	EXP 	window1: blendMode = 'avg'
15.6840 	EXP 	window1: blendMode = 'avg'
15.7001 	EXP 	window1: blendMode = 'avg'
15.7003 	EXP 	window1: blendMode = 'avg'
15.7168 	EXP 	window1: blendMode = 'avg'
15.7170 	EXP 	window1: blendMode = 'avg'
15.7334 	EXP 	window1: blendMode = 'avg'
15.7337 	EXP 	window1: blendMode = 'avg'
15.7500 	EXP 	window1: blendMode = 'avg'
15.7502 	EXP 	window1: blendMode = 'avg'
15.7667 	EXP 	window1: blendMode = 'avg'
15.7669 	EXP 	window1: blendMode = 'avg'
15.7834 	EXP 	window1: blendMode = 'avg'
15.7836 	EXP 	window1: blendMode = 'avg'
